education,default,housing,loan,contact,poutcome_success,subscribed,pp_balance_norm,overdraft_debt,pp_age_norm,pp_campaign_norm,ever_contacted,is_married,job_blue_collar,job_entrepreneur,job_management,job_retired,job_student,job_unemployed,y_class
2,0,1,0,0,0,0,0.02098367718624849,0,0.5194805194805194,0.0,0,1,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.00028396016724274676,0,0.3376623376623377,0.0,0,0,1,0,0,0,0,0,False
1,0,1,1,0,0,0,1.9583459809844604e-05,0,0.19480519480519481,0.0,0,1,0,1,0,0,0,0,False
1,0,1,0,0,0,0,0.014746345236812987,0,0.3766233766233767,0.0,0,1,1,0,0,0,0,0,False
1,0,0,0,0,0,0,9.791729904922302e-06,0,0.19480519480519481,0.0,0,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.0022618896080370517,0,0.2207792207792208,0.0,0,1,0,0,1,0,0,0,False
2,0,1,1,0,0,0,0.004376903267500269,0,0.12987012987012986,0.0,0,0,0,0,1,0,0,0,False
2,1,1,0,0,0,0,1.9583459809844604e-05,0,0.31168831168831174,0.0,0,0,0,1,0,0,0,0,False
0,0,1,0,0,0,0,0.0011847993184955984,0,0.5194805194805194,0.0,0,1,0,0,0,1,0,0,False
1,0,1,0,0,0,0,0.005806495833618925,0,0.32467532467532473,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0026437670743290217,0,0.29870129870129875,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.003818774662919698,0,0.14285714285714285,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,5.875037942953381e-05,0,0.45454545454545453,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0006952128232494834,0,0.5194805194805194,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.001586260244597413,0,0.5064935064935066,0.0,0,1,1,0,0,0,0,0,False
0,0,1,0,0,0,0,0.0022423061482272073,0,0.42857142857142855,0.0,0,1,0,0,0,1,0,0,False
1,0,1,0,0,0,0,0.00012729248876398993,0,0.3506493506493507,0.0,0,0,1,0,0,0,0,0,False
0,0,1,0,0,0,0,0.0005091699550559597,0,0.5064935064935066,0.0,0,1,1,0,0,0,0,0,False
0,0,1,0,0,0,0,0.0005875037942953381,0,0.5454545454545454,0.0,0,1,0,0,0,1,0,0,False
1,0,1,0,0,0,0,0.0,0,0.19480519480519481,0.0,0,1,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.007079420721258824,0,0.12987012987012986,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.007627757595934473,0,0.4935064935064935,0.0,0,1,0,0,1,0,0,0,False
0,0,1,1,0,0,0,0.00022520978781321295,0,0.18181818181818182,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0004895864952461151,0,0.09090909090909088,0.0,0,1,1,0,0,0,0,0,False
0,0,1,1,0,0,0,0.0,0,0.28571428571428575,0.0,0,1,0,0,0,1,0,0,False
1,0,1,0,0,0,0,0.0,1,0.3376623376623377,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.002496891125755187,0,0.27272727272727276,0.0,0,0,0,0,1,0,0,0,False
1,0,1,1,0,0,0,0.00110646547925622,0,0.44155844155844154,0.0,0,1,0,1,0,0,0,0,False
1,0,1,0,0,0,0,0.0,1,0.3636363636363637,0.016129032258064516,0,0,0,0,1,0,0,0,False
1,0,1,1,0,0,0,0.00259480842480441,0,0.2337662337662338,0.0,0,0,1,0,0,0,0,0,False
1,0,0,1,0,0,0,0.008215261390229812,0,0.5064935064935066,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.00370127390406063,0,0.40259740259740256,0.0,0,1,0,0,1,0,0,0,False
1,0,1,1,0,0,0,0.00038187746629196975,0,0.5454545454545454,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0,0,0.5324675324675325,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.10413504753884868,0,0.42857142857142855,0.0,0,1,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.000616878984010105,0,0.5064935064935066,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0,1,0.09090909090909088,0.0,0,1,1,0,0,0,0,0,False
1,0,0,0,0,0,0,0.0,1,0.45454545454545453,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.004954615331890685,0,0.2337662337662338,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0,0,0.24675324675324678,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.025321413534129072,0,0.3376623376623377,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0004797947653411928,0,0.41558441558441556,0.016129032258064516,0,1,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.0010183399101119195,0,0.5454545454545454,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.005179825119703898,0,0.4675324675324675,0.0,0,1,0,0,0,1,0,0,False
1,0,1,0,0,0,0,0.000940006070872541,0,0.5194805194805194,0.0,0,1,0,0,0,1,0,0,False
0,0,1,0,0,0,0,0.0,1,0.2337662337662338,0.0,0,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.0,1,0.5194805194805194,0.0,0,1,0,1,0,0,0,0,False
1,0,1,0,0,0,0,0.0,0,0.3376623376623377,0.016129032258064516,0,1,1,0,0,0,0,0,False
1,0,0,0,0,0,0,0.0,0,0.4805194805194805,0.0,0,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.0,0,0.14285714285714285,0.0,0,0,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.012641123307254691,0,0.4675324675324675,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.0,1,0.3896103896103896,0.0,0,0,0,0,1,0,0,0,False
2,0,1,0,0,0,0,0.0,0,0.18181818181818182,0.0,0,1,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.0,1,0.31168831168831174,0.0,0,0,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.0,1,0.07792207792207789,0.0,0,0,1,0,0,0,0,0,False
2,0,0,1,0,0,0,0.0023793903668961193,0,0.25974025974025977,0.0,0,0,0,1,0,0,0,0,False
2,0,1,0,0,0,0,0.004151693479687056,0,0.25974025974025977,0.0,0,0,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.0029962693509062244,0,0.3766233766233767,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.00023500151771813524,0,0.28571428571428575,0.0,0,0,1,0,0,0,0,0,False
0,0,1,0,0,0,0,0.001752719652981092,0,0.3636363636363637,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.0,0,0.18181818181818182,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.009684020875968157,0,0.45454545454545453,0.0,0,0,1,0,0,0,0,0,False
0,0,1,0,0,0,0,0.0024381407463256533,0,0.5064935064935066,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.007735466624888618,0,0.19480519480519481,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.0015079264053580344,0,0.40259740259740256,0.0,0,1,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0.06393999627914262,0,0.42857142857142855,0.0,0,1,0,0,1,0,0,0,False
2,0,0,0,0,0,0,0.0009791729904922303,0,0.5454545454545454,0.0,0,1,0,0,0,1,0,0,False
2,0,1,0,0,0,0,0.0005777120643904158,0,0.5324675324675325,0.0,0,0,0,0,1,0,0,0,False
1,0,1,0,0,0,0,0.011799034535431374,0,0.4805194805194805,0.016129032258064516,0,1,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.1196843146278653,0,0.2207792207792208,0.0,0,0,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.05811391698571386,0,0.5064935064935066,0.0,0,1,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.00024479324762305757,0,0.16883116883116883,0.0,0,1,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.0027612678331880892,0,0.4675324675324675,0.0,0,1,0,0,1,0,0,0,False
0,0,1,0,0,0,0,0.00022520978781321295,0,0.4805194805194805,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.018966580825834498,0,0.32467532467532473,0.0,0,1,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.003760024283490164,0,0.45454545454545453,0.0,0,1,1,0,0,0,0,0,False
1,0,0,1,0,0,0,0.00569878680466478,0,0.3376623376623377,0.0,0,1,1,0,0,0,0,0,False
1,0,0,0,0,0,0,0.0008910474213479295,0,0.4805194805194805,0.0,0,0,1,0,0,0,0,0,False
1,0,1,1,0,0,0,0.0,0,0.40259740259740256,0.0,0,0,1,0,0,0,0,0,False
1,1,1,0,0,0,0,9.791729904922302e-06,0,0.4805194805194805,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.002017096360413994,0,0.3506493506493507,0.0,0,0,1,0,0,0,0,0,False
1,0,0,0,0,0,0,0.0016058437044072576,0,0.3766233766233767,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,0,0.006756293634396388,0,0.31168831168831174,0.0,0,0,1,0,0,0,0,0,False
1,0,1,0,0,0,1,0.022942023167232952,0,0.5324675324675325,0.0,0,1,1,0,0,0,0,0,True
